burn_no.,lat,lon,date
511,32.603905,-94.342094,2/1/2020 0:00
512,35.126148,-94.909782,2/1/2020 0:00
513,34.93399,-91.221359,2/1/2020 0:00
514,36.513874,-94.722351,2/1/2020 0:00
515,35.671665,-91.031212,2/1/2020 0:00
516,36.187614,-92.072937,2/1/2020 0:00
517,36.136841,-93.115906,2/1/2020 0:00
518,35.522972,-93.429314,2/1/2020 0:00
519,35.936714,-89.716103,2/2/2020 0:00
520,35.948093,-89.714989,2/2/2020 0:00
521,34.789387,-89.993782,2/2/2020 0:00
522,34.920853,-92.433517,2/2/2020 0:00
523,34.921329,-92.43837,2/2/2020 0:00
524,35.936829,-89.71701,2/2/2020 0:00
525,35.890762,-89.78228,2/2/2020 0:00
526,35.89764,-89.775322,2/2/2020 0:00
527,35.936165,-89.711426,2/2/2020 0:00
528,35.794746,-91.746193,2/2/2020 0:00
529,35.947987,-89.714073,2/2/2020 0:00
530,34.851635,-89.904495,2/2/2020 0:00
531,32.278381,-92.727936,2/2/2020 0:00
532,32.279133,-90.216522,2/2/2020 0:00
533,32.282822,-90.215919,2/2/2020 0:00
534,32.064182,-91.710365,2/2/2020 0:00
535,33.053196,-94.051765,2/2/2020 0:00
536,31.889866,-90.455627,2/2/2020 0:00
537,33.05088,-94.052574,2/2/2020 0:00
538,32.984165,-94.113312,2/2/2020 0:00
539,36.161797,-91.761688,2/2/2020 0:00
540,35.619068,-90.690331,2/2/2020 0:00
541,34.919086,-92.436607,2/2/2020 0:00
542,36.127449,-91.701805,2/2/2020 0:00
543,35.989861,-91.470657,2/2/2020 0:00
544,35.880642,-91.690933,2/2/2020 0:00
545,35.884953,-91.708038,2/2/2020 0:00
546,35.238819,-90.552635,2/2/2020 0:00
547,33.663425,-94.270309,2/2/2020 0:00
548,36.164413,-91.767708,2/2/2020 0:00
549,35.409271,-91.889473,2/2/2020 0:00
550,36.165352,-91.762718,2/2/2020 0:00
551,35.292725,-91.664047,2/2/2020 0:00
552,35.622524,-90.691246,2/2/2020 0:00
553,36.273396,-91.644073,2/2/2020 0:00
554,36.271862,-91.641151,2/2/2020 0:00
555,34.493423,-92.274826,2/2/2020 0:00
556,34.916882,-92.433449,2/2/2020 0:00
557,36.196213,-92.138374,2/2/2020 0:00
558,33.194496,-91.059525,2/3/2020 0:00
559,33.198044,-91.059242,2/3/2020 0:00
560,32.644939,-94.158737,2/3/2020 0:00
561,32.730614,-93.65107,2/3/2020 0:00
562,34.165688,-90.101982,2/3/2020 0:00
563,36.31184,-94.919601,2/3/2020 0:00
564,35.793709,-91.744064,2/7/2020 0:00
565,32.391232,-94.737816,2/7/2020 0:00
566,31.685419,-90.434563,2/7/2020 0:00
567,34.852657,-89.902641,2/7/2020 0:00
568,36.81966,-89.960129,2/7/2020 0:00
569,34.627838,-89.969398,2/7/2020 0:00
570,35.044975,-90.165634,2/7/2020 0:00
571,32.789364,-94.488533,2/7/2020 0:00
572,35.890766,-89.779343,2/7/2020 0:00
573,35.646046,-89.933945,2/8/2020 0:00
574,35.650543,-89.933311,2/8/2020 0:00
575,36.821514,-89.959297,2/8/2020 0:00
576,36.821106,-89.959442,2/8/2020 0:00
577,35.642551,-89.945541,2/8/2020 0:00
578,35.045292,-90.166176,2/8/2020 0:00
579,35.043922,-90.161652,2/8/2020 0:00
